Anio;Mes;Dia;Caterpillar;Ferrari;Volkswagen;Boeing;RollsRoyce
2016;4;17; 78.5 ; 43.24 ; 152 ; 130.45 ; 9.97 
2016;4;18; 77.15 ; 43.74 ; 153.25 ; 131.25 ; 9.8 
2016;4;19; 77.98 ; 43.82 ; 157.75 ; 133.2 ; 9.695 
2016;4;20; 78.03 ; 44.06 ; 157.5 ; 136.29 ; 9.8 
2016;4;21; 78.02 ; 45.37 ; 158.5 ; 134.42 ; 9.78 
2016;5;1; 77.35 ; 46.5 ; 156.7 ; 134.38 ; 9.66 
2016;5;2; 76.85 ; 43.85 ; 155.025 ; 132.7 ; 9.41 
2016;5;3; 76.18 ; 44.13 ; 153.69 ; 131.59 ; 9.27 
2016;5;4; 74.15 ; 43.79 ; 149.28 ; 131.73 ; 9.15 
2016;5;5; 72.16 ; 43.04 ; 150 ; 132.11 ; 9.345 
2016;5;6; 72.33 ; 43.09 ; 154.235 ; 132.8 ; 9.37 
2016;5;7; 70.78 ; 43.18 ; 156.05 ; 133.18 ; 9.09 
2016;5;8; 72.85 ; 43.18 ; 158.64 ; 133.81 ; 9.39 
2016;5;9; 72.92 ; 43.53 ; 156.2 ; 133.49 ; 9.4 
2016;5;10; 71.63 ; 43.57 ; 1.555.699 ; 133.74 ; 9.21 
2016;5;11; 70.39 ; 43.73 ; 151.95 ; 131.63 ; 9.36 
2016;5;12; 70.7 ; 42.78 ; 149.2 ; 133.62 ; 9.605 
2016;5;13; 70.62 ; 42.12 ; 151.14 ; 132.45 ; 9.494 
2016;5;14; 69.93 ; 41.73 ; 154.33 ; 130.24 ; 9.41 
2016;5;15; 70 ; 41.2 ; 153.67 ; 129.13 ; 9.18 
2016;5;16; 69.8 ; 40.48 ; 148.3 ; 127.4 ; 9.225 
2016;5;17; 70.78 ; 40.94 ; 1.494.501 ; 127.76 ; 9.22 
2016;5;18; 71.63 ; 42.22 ; 1.525.501 ; 128 ; 9.38 
2016;5;19; 73.24 ; 42.11 ; 155 ; 128.48 ; 9.12 
2016;5;20; 72.15 ; 42.05 ; 156.76 ; 128.96 ; 9.12 
2016;5;21; 72.03 ; 42.39 ; 154.85 ; 129.88 ; 9.29 
2016;6;1; 71.98 ; 42.35 ; 154.3 ; 126 ; 8.565 
2016;6;2; 72.6 ; 42.71 ; 154.25 ; 126.65 ; 8.75 
2016;6;3; 73.65 ; 43 ; 156.6 ; 126.42 ; 8.75 
2016;6;4; 75.36 ; 42.65 ; 157.8 ; 127.6 ; 8.78 
2016;6;5; 76.53 ; 43.54 ; 156.8 ; 132.41 ; 8.82 
2016;6;6; 77.5 ; 43.98 ; 158.75 ; 132.52 ; 8.76 
2016;6;7; 77.39 ; 43.15 ; 152.8 ; 132.1 ; 8.52 
2016;6;8; 76.32 ; 42.15 ; 150.95 ; 131.76 ; 8.675 
2016;6;9; 75.7 ; 40.97 ; 143.53 ; 130.79 ; 8.4 
2016;6;10; 75.06 ; 40.95 ; 142 ; 129.63 ; 8.33 
2016;6;11; 75.19 ; 40.83 ; 145.5 ; 130.88 ; 8.67 
2016;6;12; 74.41 ; 40.57 ; 142.28 ; 129.32 ; 8.555 
2016;6;13; 75.35 ; 41.6 ; 147.65 ; 129.83 ; 8.63 
2016;6;14; 76.91 ; 43.42 ; 151.95 ; 131.36 ; 9.18 
2016;6;15; 76.45 ; 43.37 ; 152 ; 133.19 ; 9.33 
2016;6;16; 76.89 ; 43.11 ; 148.65 ; 132.1 ; 9.22 
2016;6;17; 77.66 ; 43.54 ; 150.55 ; 133.91 ; 9.36 
2016;6;18; 75.2 ; 40.67 ; 138.42 ; 128.14 ; 9.045 
2016;6;19; 72.5 ; 39.71 ; 137.75 ; 125.68 ; 8.76 
2016;6;20; 72.24 ; 40.02 ; 138 ; 124.5 ; 8.78 
2016;6;21; 73.25 ; 39.92 ; 137.8 ; 125.49 ; 9.35 
2016;6;22; 74.17 ; 40.38 ; 135.35 ; 127.08 ; 9.38 
2016;7;1; 75.38 ; 41.71 ; 138.3 ; 129.54 ; 9.39 
2016;7;2; 75.66 ; 40.93 ; 135.1 ; 128.43 ; 9.18 
2016;7;3; 74.59 ; 38.9 ; 132.85 ; 127.25 ; 8.89 
2016;7;4; 75.07 ; 39.8 ; 132 ; 126.92 ; 9.4 
2016;7;5; 75.92 ; 40.96 ; 133.9 ; 128.6 ; 9.62 
2016;7;6; 78 ; 42.34 ; 135.85 ; 130.84 ; 9.43 
2016;7;7; 78.72 ; 42.84 ; 140.35 ; 132.8 ; 9.33 
2016;7;8; 79.98 ; 42.7 ; 143 ; 131.28 ; 9.87 
2016;7;9; 80.5 ; 42.71 ; 141.7 ; 131.63 ; 9.85 
2016;7;10; 80.49 ; 42.54 ; 138.45 ; 131.8 ; 9.88 
2016;7;11; 79.88 ; 42.28 ; 142.85 ; 132.38 ; 9.64 
2016;7;12; 79.34 ; 41.81 ; 141.05 ; 132.91 ; 9.57 
2016;7;13; 79.45 ; 42.29 ; 143.8 ; 134.55 ; 9.57 
2016;7;14; 80.45 ; 42.26 ; 145.4 ; 134.76 ; 9.75 
2016;7;15; 79.78 ; 42.82 ; 144.95 ; 131.75 ; 9.75 
2016;7;16; 79.15 ; 43.18 ; 143.25 ; 133.18 ; 9.56 
2016;7;17; 79.04 ; 43.26 ; 146 ; 132.9 ; 9.545 
2016;7;18; 82.72 ; 44.81 ; 150 ; 136.14 ; 9.7 
2016;7;19; 83.7 ; 44.76 ; 149.85 ; 135.4 ; 11.26 
2016;7;20; 82.8 ; 45.05 ; 145.66 ; 133.05 ; 10.615 
2016;8;1; 82.76 ; 45.03 ; 146.05 ; 133.21 ; 10.5 
2016;8;2; 82 ; 45.6 ; 141.21 ; 132.95 ; 10.06 
2016;8;3; 81.15 ; 46.43 ; 142.16 ; 131.77 ; 9.92 
2016;8;4; 81.82 ; 46.71 ; 142.96 ; 132 ; 9.86 
2016;8;5; 82.22 ; 47 ; 143.72 ; 132.21 ; 9.83 
2016;8;6; 83 ; 47.39 ; 145 ; 132.14 ; 10.01 
2016;8;7; 83.52 ; 47.52 ; 146.46 ; 132.73 ; 9.96 
2016;8;8; 83.31 ; 47.93 ; 147.9 ; 132.1 ; 10.27 
2016;8;9; 83 ; 48.07 ; 148.3 ; 132.85 ; 10.285 
2016;8;10; 83.26 ; 48.36 ; 146.51 ; 132.9 ; 10.33 
2016;8;11; 83 ; 48.41 ; 148.24 ; 133.7 ; 10.36 
2016;8;12; 84.21 ; 47.88 ; 146.86 ; 134.15 ; 10.18 
2016;8;13; 84.41 ; 47.62 ; 145.7 ; 134.85 ; 10.18 
2016;8;14; 83.41 ; 48.06 ; 146.28 ; 134.72 ; 103.597 
2016;8;15; 83.06 ; 47.43 ; 142.16 ; 134.5 ; 10.25 
2016;8;16; 83.62 ; 47.76 ; 143.76 ; 134.3 ; 10.34 
2016;8;17; 83.98 ; 48.88 ; 146.05 ; 135.32 ; 10.34 
2016;8;18; 83.41 ; 48.5 ; 145.51 ; 134.01 ; 10.445 
2016;8;19; 83.07 ; 48.04 ; 144.75 ; 133.3 ; 10.15 
2016;8;20; 83.21 ; 48.35 ; 145.45 ; 133.5 ; 10.215 
2016;8;21; 82.51 ; 48.4 ; 143.63 ; 132.72 ; 10.2 
2016;8;22; 82.86 ; 48.39 ; 144.62 ; 133.19 ; 10.1 
2016;8;23; 82.06 ; 48.19 ; 1.455.001 ; 130.83 ; 10.05 
2016;9;1; 81.59 ; 48.27 ; 146.01 ; 130.03 ; 10 
2016;9;2; 82.19 ; 48.25 ; 144.8 ; 130.89 ; 10.25 
2016;9;3; 82.01 ; 48.25 ; 148.2 ; 131.63 ; 10.43 
2016;9;4; 82.5 ; 49.55 ; 148.6 ; 132.48 ; 10.149 
2016;9;5; 83.5 ; 49.1 ; 148.05 ; 132.32 ; 10 
2016;9;6; 82.89 ; 49.22 ; 146.7 ; 131.94 ; 9.87 
2016;9;7; 80.27 ; 47.36 ; 146.1 ; 126.878 ; 9.41 
2016;9;8; 81.1 ; 48.11 ; 145.6 ; 129.22 ; 9.41 
2016;9;9; 80.38 ; 47.52 ; 144.655 ; 128.91 ; 9.35 
2016;9;10; 80.83 ; 46.95 ; 143.47 ; 127.57 ; 9.47 
2016;9;11; 81.62 ; 46.55 ; 141.55 ; 127.71 ; 9.52 
2016;9;12; 82.18 ; 47.56 ; 143.2 ; 127.5 ; 9.74 
2016;9;13; 82.46 ; 47.49 ; 144 ; 127.95 ; 9.56 
2016;9;14; 82.3 ; 48.55 ; 143 ; 128.18 ; 9.56 
2016;9;15; 83.97 ; 50.43 ; 145.6 ; 131.45 ; 9.58 
2016;9;16; 83.51 ; 50.65 ; 143.61 ; 131.25 ; 9.47 
2016;9;17; 82.2 ; 50.28 ; 142.13 ; 131.07 ; 92.899 
2016;9;18; 82.19 ; 50.08 ; 139.38 ; 130.29 ; 9.24 
2016;9;19; 83.25 ; 50.65 ; 142.79 ; 131.59 ; 9.27 
2016;9;20; 86.28 ; 51.49 ; 140.8 ; 131.8 ; 9.27 
2016;9;21; 87.99 ; 51.42 ; 143.5 ; 132.09 ; 9.35 
2016;10;1; 88.23 ; 51.92 ; 142.59 ; 131.28 ; 9.43 
2016;10;2; 88.5 ; 52.55 ; 145.26 ; 132.77 ; 9.79 
2016;10;3; 88.12 ; 53.31 ; 146.4 ; 132.93 ; 95.101 
2016;10;4; 88.96 ; 53.29 ; 147 ; 134.83 ; 9.6 
2016;10;5; 89.52 ; 53.32 ; 146.12 ; 133.93 ; 9.625 
2016;10;6; 89.1 ; 54.18 ; 146.05 ; 134.589 ; 9.77 
2016;10;7; 89.1 ; 53.42 ; 145.17 ; 134.94 ; 9.57 
2016;10;8; 87.5 ; 53.1 ; 144.19 ; 133.76 ; 9.46 
2016;10;9; 86.9 ; 52.89 ; 144 ; 132.42 ; 9.24 
2016;10;10; 87.83 ; 52.85 ; 145.9 ; 134.56 ; 9.22 
2016;10;11; 87.38 ; 52.75 ; 145.04 ; 133.5 ; 9.38 
2016;10;12; 88.11 ; 52.73 ; 145.45 ; 135.03 ; 9.27 
2016;10;13; 87.31 ; 52.01 ; 143.9 ; 135.42 ; 9.31 
2016;10;14; 87.06 ; 52.48 ; 147.76 ; 135.92 ; 9.43 
2016;10;15; 85.73 ; 52.02 ; 146.16 ; 134.72 ; 9.28 
2016;10;16; 86.12 ; 52.83 ; 145.82 ; 136.41 ; 9.16 
2016;10;17; 85.86 ; 52.99 ; 145.19 ; 137.53 ; 9.01 
2016;10;18; 83.81 ; 52.79 ; 146.85 ; 138.43 ; 8.895 
2016;10;19; 84.28 ; 53.12 ; 145.67 ; 145.83 ; 9.01 
2016;10;20; 83.32 ; 52.63 ; 146.27 ; 143.72 ; 8.915 
2016;10;21; 84.19 ; 52.73 ; 148 ; 143.05 ; 8.9 
2016;11;1; 83.47 ; 53.09 ; 149.105 ; 142.95 ; 87.801 
2016;11;2; 82.15 ; 51.14 ; 143.54 ; 142 ; 8.74 
2016;11;3; 81.64 ; 50.97 ; 142.915 ; 140.76 ; 8.77 
2016;11;4; 81.34 ; 50.43 ; 141.5 ; 139.11 ; 8.94 
